id,loc,call_num,a,b,c,d
2017764541,fsa1998023192/PP,LC-USF34-012453-E,Puerto Rico,Aibonito Municipality,NA,La Plata
2017764551,fsa1998023202/PP,LC-USF34-012467-E,Puerto Rico,San Juan Municipality,NA,San Juan
2017764574,fsa1998023225/PP,LC-USF34-012508-E,Puerto Rico,NA,NA,NA
2017764611,fsa1998023262/PP,LC-USF34-012562-E,Puerto Rico,NA,NA,NA
2017764537,fsa1998023188/PP,LC-USF34-012448-E,Puerto Rico,San Juan Municipality,NA,San Juan
2017764535,fsa1998023186/PP,LC-USF34-012446-E,Puerto Rico,San Juan Municipality,NA,San Juan
2017797197,fsa2000028374/PP,LC-USF34-046785-D,Puerto Rico,Corozal Municipality,NA,Corozal
2017751891,fsa1998010549/PP,LC-USF33-021450-M1,Puerto Rico,Cabo Rojo Municipality,NA,Puerto Real
2017751892,fsa1998010550/PP,LC-USF33-021450-M2,Puerto Rico,Cabo Rojo Municipality,NA,Puerto Real
2017751893,fsa1998010551/PP,LC-USF33-021450-M3,Puerto Rico,Cabo Rojo Municipality,NA,Puerto Real
2017751894,fsa1998010552/PP,LC-USF33-021450-M4,Puerto Rico,Cabo Rojo Municipality,NA,Puerto Real
2017751895,fsa1998010553/PP,LC-USF33-021450-M5,Puerto Rico,Cabo Rojo Municipality,NA,Puerto Real
2017751896,fsa1998010554/PP,LC-USF33-021451-M1,Puerto Rico,Cabo Rojo Municipality,NA,Puerto Real
2017751897,fsa1998010555/PP,LC-USF33-021451-M2,Puerto Rico,Cabo Rojo Municipality,NA,Puerto Real
2017751898,fsa1998010556/PP,LC-USF33-021451-M3,Puerto Rico,Cabo Rojo Municipality,NA,Puerto Real
2017751899,fsa1998010557/PP,LC-USF33-021451-M4,Puerto Rico,Cabo Rojo Municipality,NA,Puerto Real
2017751168,fsa1998009826/PP,LC-USF33-021294-M2,Puerto Rico,Barranquitas Municipality,NA,Barranquitas
2017751207,fsa1998009865/PP,LC-USF33-021302-M1,Puerto Rico,Barranquitas Municipality,NA,Barranquitas
2017751208,fsa1998009866/PP,LC-USF33-021302-M2,Puerto Rico,Barranquitas Municipality,NA,Barranquitas
2017751212,fsa1998009870/PP,LC-DIG-fsa-8a37484,Puerto Rico,Barranquitas Municipality,NA,Barranquitas
2017751215,fsa1998009873/PP,LC-USF33-021303-M4,Puerto Rico,Barranquitas Municipality,NA,Barranquitas
2017751216,fsa1998009874/PP,LC-USF33-021303-M5,Puerto Rico,Barranquitas Municipality,NA,Barranquitas
2017798351,fsa2000029528/PP,LC-USF34-047939-D,Puerto Rico,Ponce Municipality,NA,Guanica
2017798373,fsa2000029550/PP,LC-USF34-047961-D,Puerto Rico,Ponce Municipality,NA,Guanica
2017764594,fsa1998023245/PP,LC-DIG-fsa-8b30669,Puerto Rico,San Juan Municipality,NA,San Juan
2017764603,fsa1998023254/PP,LC-USF34-012542-E,Puerto Rico,San Juan Municipality,NA,San Juan
2017764604,fsa1998023255/PP,LC-USF34-012543-E,Puerto Rico,San Juan Municipality,NA,San Juan
2017764605,fsa1998023256/PP,LC-USF34-012544-E,Puerto Rico,San Juan Municipality,NA,San Juan
2017764622,fsa1998023273/PP,LC-USF34-012577-E,Puerto Rico,Aibonito Municipality,NA,La Plata
2017764625,fsa1998023276/PP,LC-USF34-012580-E,Puerto Rico,San Juan Municipality,NA,San Juan
2017764632,fsa1998023283/PP,LC-USF34-012589-E,Puerto Rico,San Juan Municipality,NA,San Juan
2017798520,fsa2000029697/PP,LC-USF34-048108-E,Puerto Rico,Manati Municipality,NA,Manati
2017798524,fsa2000029701/PP,LC-USF34-048112-E,Puerto Rico,Manati Municipality,NA,Manati
2017798598,fsa2000029775/PP,LC-USF34-048186-D,Puerto Rico,Arecibo Municipality,NA,Arecibo
2017798608,fsa2000029785/PP,LC-USF34-048199-D,Puerto Rico,Arecibo Municipality,NA,Arecibo
2017764562,fsa1998023213/PP,LC-DIG-fsa-8b30625,Puerto Rico,Ponce Municipality,NA,NA
2017728848,fsa1997015024/PP,LC-USF33-005010-M1,Puerto Rico,Ponce Municipality,NA,Ponce
2017728849,fsa1997015025/PP,LC-USF33-005010-M2,Puerto Rico,Ponce Municipality,NA,Ponce
2017728850,fsa1997015026/PP,LC-USF33-005010-M3,Puerto Rico,Ponce Municipality,NA,Ponce
2017728851,fsa1997015027/PP,LC-USF33-005010-M4,Puerto Rico,Ponce Municipality,NA,Ponce
2017728852,fsa1997015028/PP,LC-USF33-005011-M1,Puerto Rico,Ponce Municipality,NA,NA
2017728853,fsa1997015029/PP,LC-USF33-005011-M2,Puerto Rico,Ponce Municipality,NA,NA
2017728854,fsa1997015030/PP,LC-USF33-005011-M3,Puerto Rico,Ponce Municipality,NA,NA
2017728855,fsa1997015031/PP,LC-USF33-005011-M4,Puerto Rico,Ponce Municipality,NA,NA
2017728856,fsa1997015032/PP,LC-USF33-005012-M1,Puerto Rico,Ponce Municipality,NA,Ponce
2017728857,fsa1997015033/PP,LC-USF33-005012-M2,Puerto Rico,Ponce Municipality,NA,Ponce
2017728858,fsa1997015034/PP,LC-USF33-005012-M3,Puerto Rico,Ponce Municipality,NA,Ponce
2017728859,fsa1997015035/PP,LC-USF33-005012-M4,Puerto Rico,Ponce Municipality,NA,Ponce
2017728860,fsa1997015036/PP,LC-USF33-005013-M1,Puerto Rico,Ponce Municipality,NA,NA
2017728861,fsa1997015037/PP,LC-USF33-005013-M2,Puerto Rico,Ponce Municipality,NA,NA
2017728862,fsa1997015038/PP,LC-USF33-005013-M3,Puerto Rico,Ponce Municipality,NA,NA
2017728863,fsa1997015039/PP,LC-USF33-005013-M3-P,Puerto Rico,Ponce Municipality,NA,NA
2017728864,fsa1997015040/PP,LC-USF33-005014-M1,Puerto Rico,Ponce Municipality,NA,Ponce
2017728865,fsa1997015041/PP,LC-USF33-005014-M2,Puerto Rico,Ponce Municipality,NA,Ponce
2017728866,fsa1997015042/PP,LC-USF33-005014-M3,Puerto Rico,Ponce Municipality,NA,Ponce
2017728867,fsa1997015043/PP,LC-USF33-005014-M4,Puerto Rico,Ponce Municipality,NA,Ponce
2017728868,fsa1997015044/PP,LC-USF33-005014-M5,Puerto Rico,Ponce Municipality,NA,Ponce
2017728873,fsa1997015049/PP,LC-USF33-005016-M1,Puerto Rico,San Juan Municipality,NA,San Juan
2017728874,fsa1997015050/PP,LC-USF33-005016-M2,Puerto Rico,San Juan Municipality,NA,San Juan
2017751000,fsa1998009658/PP,LC-USF33-021258-M1,Puerto Rico,Ponce Municipality,NA,Ponce
2017751001,fsa1998009659/PP,LC-USF33-021258-M2,Puerto Rico,Ponce Municipality,NA,Ponce
2017751002,fsa1998009660/PP,LC-USF33-021258-M3,Puerto Rico,Ponce Municipality,NA,Ponce
2017751003,fsa1998009661/PP,LC-USF33-021258-M4,Puerto Rico,Ponce Municipality,NA,Ponce
2017751004,fsa1998009662/PP,LC-USF33-021258-M5,Puerto Rico,Ponce Municipality,NA,Ponce
2017751005,fsa1998009663/PP,LC-USF33-021259-M1,Puerto Rico,Ponce Municipality,NA,Ponce
2017751006,fsa1998009664/PP,LC-USF33-021259-M2,Puerto Rico,Ponce Municipality,NA,Ponce
2017751007,fsa1998009665/PP,LC-USF33-021259-M3,Puerto Rico,Ponce Municipality,NA,Ponce
2017751008,fsa1998009666/PP,LC-USF33-021259-M4,Puerto Rico,Ponce Municipality,NA,Ponce
2017751009,fsa1998009667/PP,LC-USF33-021259-M5,Puerto Rico,Ponce Municipality,NA,Ponce
2017751011,fsa1998009669/PP,LC-USF33-021260-M2,Puerto Rico,Barranquitas Municipality,NA,NA
2017751012,fsa1998009670/PP,LC-USF33-021260-M3,Puerto Rico,Barranquitas Municipality,NA,NA
2017751013,fsa1998009671/PP,LC-USF33-021260-M4,Puerto Rico,Barranquitas Municipality,NA,NA
2017751014,fsa1998009672/PP,LC-USF33-021260-M5,Puerto Rico,Cayey Municipality,NA,NA
2017751015,fsa1998009673/PP,LC-USF33-021261-M1,Puerto Rico,Cayey Municipality,NA,NA
2017751016,fsa1998009674/PP,LC-USF33-021261-M2,Puerto Rico,Cayey Municipality,NA,NA
2017751017,fsa1998009675/PP,LC-USF33-021261-M3,Puerto Rico,Cayey Municipality,NA,NA
2017751018,fsa1998009676/PP,LC-DIG-fsa-8a37288,Puerto Rico,San Juan Municipality,NA,San Juan
2017751019,fsa1998009677/PP,LC-USF33-021262-M2,Puerto Rico,San Juan Municipality,NA,San Juan
2017751020,fsa1998009678/PP,LC-USF33-021262-M3,Puerto Rico,San Juan Municipality,NA,San Juan
2017751021,fsa1998009679/PP,LC-USF33-021262-M4,Puerto Rico,San Juan Municipality,NA,San Juan
2017751022,fsa1998009680/PP,LC-USF33-021262-M5,Puerto Rico,San Juan Municipality,NA,San Juan
2017751023,fsa1998009681/PP,LC-USF33-021263-M1,Puerto Rico,San Juan Municipality,NA,San Juan
2017751024,fsa1998009682/PP,LC-USF33-021263-M2,Puerto Rico,San Juan Municipality,NA,San Juan
2017751025,fsa1998009683/PP,LC-USF33-021263-M3,Puerto Rico,San Juan Municipality,NA,San Juan
2017751026,fsa1998009684/PP,LC-USF33-021263-M4,Puerto Rico,San Juan Municipality,NA,San Juan
2017751035,fsa1998009693/PP,LC-USF33-021265-M4,Puerto Rico,Ponce Municipality,NA,Ponce
2017751036,fsa1998009694/PP,LC-USF33-021265-M5,Puerto Rico,Ponce Municipality,NA,Ponce
2017751037,fsa1998009695/PP,LC-USF33-021266-M1,Puerto Rico,Ponce Municipality,NA,Ponce
2017751038,fsa1998009696/PP,LC-USF33-021266-M2,Puerto Rico,Ponce Municipality,NA,Ponce
2017751039,fsa1998009697/PP,LC-USF33-021266-M3,Puerto Rico,Ponce Municipality,NA,Ponce
2017751040,fsa1998009698/PP,LC-USF33-021266-M4,Puerto Rico,Ponce Municipality,NA,Ponce
2017751041,fsa1998009699/PP,LC-USF33-021266-M5,Puerto Rico,Ponce Municipality,NA,Ponce
2017751042,fsa1998009700/PP,LC-USF33-021267-M1,Puerto Rico,Ponce Municipality,NA,Ponce
2017751043,fsa1998009701/PP,LC-USF33-021267-M2,Puerto Rico,Ponce Municipality,NA,Ponce
2017751044,fsa1998009702/PP,LC-USF33-021267-M3,Puerto Rico,Ponce Municipality,NA,Ponce
2017751045,fsa1998009703/PP,LC-USF33-021267-M4,Puerto Rico,Ponce Municipality,NA,Ponce
2017751046,fsa1998009704/PP,LC-USF33-021267-M5,Puerto Rico,Ponce Municipality,NA,Ponce
2017751047,fsa1998009705/PP,LC-USF33-021268-M1,Puerto Rico,Ponce Municipality,NA,Ponce
2017751048,fsa1998009706/PP,LC-USF33-021268-M2,Puerto Rico,Ponce Municipality,NA,Ponce
2017751049,fsa1998009707/PP,LC-USF33-021268-M3,Puerto Rico,Ponce Municipality,NA,Ponce
2017751050,fsa1998009708/PP,LC-USF33-021268-M4,Puerto Rico,Ponce Municipality,NA,Ponce
2017751051,fsa1998009709/PP,LC-USF33-021268-M5,Puerto Rico,Ponce Municipality,NA,Ponce
2017751052,fsa1998009710/PP,LC-USF33-021269-M1,Puerto Rico,Ponce Municipality,NA,Ponce
2017751056,fsa1998009714/PP,LC-USF33-021269-M5,Puerto Rico,Ponce Municipality,NA,Ponce
2017751057,fsa1998009715/PP,LC-USF33-021270-M1,Puerto Rico,Ponce Municipality,NA,Ponce
2017751058,fsa1998009716/PP,LC-USF33-021270-M2,Puerto Rico,Ponce Municipality,NA,Ponce
2017751061,fsa1998009719/PP,LC-USF33-021270-M5,Puerto Rico,Ponce Municipality,NA,Ponce
2017751062,fsa1998009720/PP,LC-USF33-021271-M1,Puerto Rico,Ponce Municipality,NA,Ponce
2017751063,fsa1998009721/PP,LC-USF33-021271-M2,Puerto Rico,Ponce Municipality,NA,Ponce
2017751064,fsa1998009722/PP,LC-USF33-021271-M3,Puerto Rico,Ponce Municipality,NA,Ponce
2017751067,fsa1998009725/PP,LC-USF33-021272-M2,Puerto Rico,Ponce Municipality,NA,Ponce
2017751068,fsa1998009726/PP,LC-USF33-021272-M3,Puerto Rico,Ponce Municipality,NA,Ponce
2017751069,fsa1998009727/PP,LC-USF33-021272-M4,Puerto Rico,Ponce Municipality,NA,Ponce
2017751070,fsa1998009728/PP,LC-USF33-021273-M1,Puerto Rico,Ponce Municipality,NA,Ponce
2017751071,fsa1998009729/PP,LC-USF33-021273-M2,Puerto Rico,Ponce Municipality,NA,Ponce
2017751072,fsa1998009730/PP,LC-USF33-021273-M3,Puerto Rico,Ponce Municipality,NA,Ponce
2017751073,fsa1998009731/PP,LC-USF33-021273-M4,Puerto Rico,Ponce Municipality,NA,Ponce
2017751074,fsa1998009732/PP,LC-USF33-021273-M5,Puerto Rico,Ponce Municipality,NA,Ponce
2017751075,fsa1998009733/PP,LC-USF33-021274-M1,Puerto Rico,Ponce Municipality,NA,Ponce
2017751076,fsa1998009734/PP,LC-USF33-021274-M2,Puerto Rico,Ponce Municipality,NA,Ponce
2017751077,fsa1998009735/PP,LC-USF33-021274-M3,Puerto Rico,Ponce Municipality,NA,Ponce
2017751078,fsa1998009736/PP,LC-USF33-021274-M4,Puerto Rico,Ponce Municipality,NA,Ponce
2017751079,fsa1998009737/PP,LC-USF33-021274-M5,Puerto Rico,Ponce Municipality,NA,Ponce
2017751080,fsa1998009738/PP,LC-USF33-021275-M1,Puerto Rico,Ponce Municipality,NA,Ponce
2017751081,fsa1998009739/PP,LC-USF33-021275-M2,Puerto Rico,Ponce Municipality,NA,Ponce
2017751082,fsa1998009740/PP,LC-USF33-021275-M3,Puerto Rico,Ponce Municipality,NA,Ponce
2017751088,fsa1998009746/PP,LC-USF33-021276-M4,Puerto Rico,Ponce Municipality,NA,Ponce
2017751089,fsa1998009747/PP,LC-USF33-021276-M5,Puerto Rico,Ponce Municipality,NA,Ponce
2017751090,fsa1998009748/PP,LC-USF33-021277-M1,Puerto Rico,Ponce Municipality,NA,Ponce
2017751091,fsa1998009749/PP,LC-USF33-021277-M2,Puerto Rico,Ponce Municipality,NA,Ponce
2017751092,fsa1998009750/PP,LC-USF33-021277-M3,Puerto Rico,Ponce Municipality,NA,Ponce
2017751094,fsa1998009752/PP,LC-USF33-021277-M5,Puerto Rico,Ponce Municipality,NA,Ponce
2017751095,fsa1998009753/PP,LC-USF33-021278-M1,Puerto Rico,Ponce Municipality,NA,Ponce
2017751096,fsa1998009754/PP,LC-USF33-021278-M2,Puerto Rico,Ponce Municipality,NA,Ponce
2017751097,fsa1998009755/PP,LC-USF33-021278-M3,Puerto Rico,Ponce Municipality,NA,Ponce
2017751098,fsa1998009756/PP,LC-USF33-021278-M4,Puerto Rico,Ponce Municipality,NA,Ponce
2017751099,fsa1998009757/PP,LC-USF33-021278-M5,Puerto Rico,Ponce Municipality,NA,Ponce
2017751100,fsa1998009758/PP,LC-USF33-021279-M1,Puerto Rico,Ponce Municipality,NA,Ponce
2017751101,fsa1998009759/PP,LC-USF33-021279-M2,Puerto Rico,Ponce Municipality,NA,Ponce
2017751102,fsa1998009760/PP,LC-USF33-021279-M3,Puerto Rico,Ponce Municipality,NA,Ponce
2017751103,fsa1998009761/PP,LC-USF33-021279-M4,Puerto Rico,Ponce Municipality,NA,Ponce
2017751104,fsa1998009762/PP,LC-USF33-021279-M5,Puerto Rico,Ponce Municipality,NA,Ponce
2017751139,fsa1998009797/PP,LC-DIG-fsa-8a37411,Puerto Rico,Barranquitas Municipality,NA,Barranquitas
2017751140,fsa1998009798/PP,LC-DIG-fsa-8a37412,Puerto Rico,Barranquitas Municipality,NA,Barranquitas
2017751141,fsa1998009799/PP,LC-DIG-fsa-8a37413,Puerto Rico,Barranquitas Municipality,NA,Barranquitas
2017751142,fsa1998009800/PP,LC-DIG-fsa-8a37414,Puerto Rico,Barranquitas Municipality,NA,Barranquitas
2017751143,fsa1998009801/PP,LC-DIG-fsa-8a37415,Puerto Rico,Barranquitas Municipality,NA,Barranquitas
2017751144,fsa1998009802/PP,LC-USF33-021289-M1,Puerto Rico,Barranquitas Municipality,NA,NA
2017751145,fsa1998009803/PP,LC-USF33-021289-M2,Puerto Rico,Barranquitas Municipality,NA,NA
2017751146,fsa1998009804/PP,LC-USF33-021289-M3,Puerto Rico,Barranquitas Municipality,NA,NA
2017751147,fsa1998009805/PP,LC-USF33-021289-M4,Puerto Rico,Barranquitas Municipality,NA,NA
2017751148,fsa1998009806/PP,LC-USF33-021289-M5,Puerto Rico,Barranquitas Municipality,NA,NA
2017751149,fsa1998009807/PP,LC-USF33-021290-M1,Puerto Rico,Barranquitas Municipality,NA,NA
2017751150,fsa1998009808/PP,LC-USF33-021290-M2,Puerto Rico,Barranquitas Municipality,NA,NA
2017751151,fsa1998009809/PP,LC-USF33-021290-M3,Puerto Rico,Barranquitas Municipality,NA,NA
2017751152,fsa1998009810/PP,LC-USF33-021290-M4,Puerto Rico,Barranquitas Municipality,NA,NA
2017751153,fsa1998009811/PP,LC-USF33-021290-M5,Puerto Rico,Barranquitas Municipality,NA,NA
2017751154,fsa1998009812/PP,LC-USF33-021291-M1,Puerto Rico,Barranquitas Municipality,NA,NA
2017751155,fsa1998009813/PP,LC-USF33-021291-M2,Puerto Rico,Barranquitas Municipality,NA,NA
2017751156,fsa1998009814/PP,LC-USF33-021291-M3,Puerto Rico,Barranquitas Municipality,NA,NA
2017751157,fsa1998009815/PP,LC-USF33-021291-M4,Puerto Rico,Barranquitas Municipality,NA,NA
2017751158,fsa1998009816/PP,LC-USF33-021291-M5,Puerto Rico,Barranquitas Municipality,NA,NA
2017751159,fsa1998009817/PP,LC-USF33-021292-M1,Puerto Rico,Barranquitas Municipality,NA,NA
2017751160,fsa1998009818/PP,LC-USF33-021292-M2,Puerto Rico,Barranquitas Municipality,NA,NA
2017751161,fsa1998009819/PP,LC-USF33-021292-M3,Puerto Rico,Barranquitas Municipality,NA,NA
2017751162,fsa1998009820/PP,LC-USF33-021292-M4,Puerto Rico,Barranquitas Municipality,NA,NA
2017751163,fsa1998009821/PP,LC-USF33-021293-M1,Puerto Rico,Barranquitas Municipality,NA,NA
2017751164,fsa1998009822/PP,LC-USF33-021293-M2,Puerto Rico,Barranquitas Municipality,NA,NA
2017751165,fsa1998009823/PP,LC-USF33-021293-M3,Puerto Rico,Barranquitas Municipality,NA,NA
2017751166,fsa1998009824/PP,LC-USF33-021293-M4,Puerto Rico,Barranquitas Municipality,NA,NA
2017751170,fsa1998009828/PP,LC-USF33-021294-M4,Puerto Rico,Barranquitas Municipality,NA,Barranquitas
2017751171,fsa1998009829/PP,LC-USF33-021294-M5,Puerto Rico,Barranquitas Municipality,NA,Barranquitas
2017751173,fsa1998009831/PP,LC-USF33-021295-M2,Puerto Rico,Barranquitas Municipality,NA,Barranquitas
2017751174,fsa1998009832/PP,LC-USF33-021295-M3,Puerto Rico,Barranquitas Municipality,NA,Barranquitas
2017751175,fsa1998009833/PP,LC-USF33-021295-M4,Puerto Rico,Barranquitas Municipality,NA,Barranquitas
2017751176,fsa1998009834/PP,LC-USF33-021295-M5,Puerto Rico,Corozal Municipality,NA,NA
2017751177,fsa1998009835/PP,LC-USF33-021296-M1,Puerto Rico,Manati Municipality,NA,Manati
2017751178,fsa1998009836/PP,LC-USF33-021296-M2,Puerto Rico,Manati Municipality,NA,NA
2017751179,fsa1998009837/PP,LC-USF33-021296-M3,Puerto Rico,Manati Municipality,NA,NA
2017751180,fsa1998009838/PP,LC-USF33-021296-M4,Puerto Rico,Manati Municipality,NA,NA
2017751181,fsa1998009839/PP,LC-USF33-021296-M5,Puerto Rico,Manati Municipality,NA,NA
2017751182,fsa1998009840/PP,LC-USF33-021297-M1,Puerto Rico,Corozal Municipality,NA,NA
2017751183,fsa1998009841/PP,LC-USF33-021297-M2,Puerto Rico,Corozal Municipality,NA,NA
2017751184,fsa1998009842/PP,LC-USF33-021297-M3,Puerto Rico,Corozal Municipality,NA,NA
2017751185,fsa1998009843/PP,LC-USF33-021297-M4,Puerto Rico,Corozal Municipality,NA,NA
2017751186,fsa1998009844/PP,LC-USF33-021297-M5,Puerto Rico,Corozal Municipality,NA,NA
2017751187,fsa1998009845/PP,LC-USF33-021298-M1,Puerto Rico,Corozal Municipality,NA,NA
2017751188,fsa1998009846/PP,LC-USF33-021298-M2,Puerto Rico,Corozal Municipality,NA,NA
2017751189,fsa1998009847/PP,LC-USF33-021298-M3,Puerto Rico,Corozal Municipality,NA,NA
2017751190,fsa1998009848/PP,LC-USF33-021298-M4,Puerto Rico,Corozal Municipality,NA,NA
2017751191,fsa1998009849/PP,LC-USF33-021298-M5,Puerto Rico,Corozal Municipality,NA,NA
2017751192,fsa1998009850/PP,LC-USF33-021299-M1,Puerto Rico,Corozal Municipality,NA,NA
2017751193,fsa1998009851/PP,LC-USF33-021299-M2,Puerto Rico,Corozal Municipality,NA,NA
2017751195,fsa1998009853/PP,LC-USF33-021299-M4,Puerto Rico,Corozal Municipality,NA,NA
2017751196,fsa1998009854/PP,LC-USF33-021299-M5,Puerto Rico,Manati Municipality,NA,Manati
2017751198,fsa1998009856/PP,LC-USF33-021300-M2,Puerto Rico,Manati Municipality,NA,NA
2017751199,fsa1998009857/PP,LC-USF33-021300-M3,Puerto Rico,Manati Municipality,NA,NA
2017751200,fsa1998009858/PP,LC-USF33-021300-M4,Puerto Rico,Manati Municipality,NA,NA
2017751203,fsa1998009861/PP,LC-USF33-021301-M2,Puerto Rico,Manati Municipality,NA,NA
2017751213,fsa1998009871/PP,LC-USF33-021303-M2,Puerto Rico,Orocovis Municipality,NA,Orocovis
2017751218,fsa1998009876/PP,LC-USF33-021304-M2,Puerto Rico,Orocovis Municipality,NA,Orocovis
2017751221,fsa1998009879/PP,LC-USF33-021304-M5,Puerto Rico,Barranquitas Municipality,NA,Barranquitas
2017751227,fsa1998009885/PP,LC-USF33-021306-M1,Puerto Rico,Barranquitas Municipality,NA,NA
2017751228,fsa1998009886/PP,LC-USF33-021306-M2,Puerto Rico,Barranquitas Municipality,NA,NA
2017751229,fsa1998009887/PP,LC-USF33-021306-M3,Puerto Rico,Barranquitas Municipality,NA,NA
2017751230,fsa1998009888/PP,LC-USF33-021306-M4,Puerto Rico,Barranquitas Municipality,NA,NA
2017751231,fsa1998009889/PP,LC-USF33-021306-M5,Puerto Rico,Barranquitas Municipality,NA,NA
2017751232,fsa1998009890/PP,LC-USF33-021307-M1,Puerto Rico,Barranquitas Municipality,NA,NA
2017751233,fsa1998009891/PP,LC-USF33-021307-M2,Puerto Rico,Barranquitas Municipality,NA,NA
2017751234,fsa1998009892/PP,LC-USF33-021307-M3,Puerto Rico,Barranquitas Municipality,NA,NA
2017751235,fsa1998009893/PP,LC-USF33-021307-M4,Puerto Rico,Barranquitas Municipality,NA,NA
2017751241,fsa1998009899/PP,LC-USF33-021309-M1,Puerto Rico,Corozal Municipality,NA,NA
2017751242,fsa1998009900/PP,LC-USF33-021309-M2,Puerto Rico,Corozal Municipality,NA,NA
2017751243,fsa1998009901/PP,LC-USF33-021309-M3,Puerto Rico,NA,NA,NA
2017751244,fsa1998009902/PP,LC-USF33-021309-M4,Puerto Rico,NA,NA,NA
